imdb_id,bechdel_rating,bechdel_dubious,bechdel_pass,movie_title,title_year,genres,imdb_score,director_name,gross,content_rating,budget,actor_1_name,plot_keywords
1315981,1.0,0.0,False,A Single Man,2009,Drama|Romance,7.6,Tom Ford,9166863.0,R,7000000.0,Colin Firth,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation
1045772,1.0,0.0,False,I Love You Phillip Morris,2009,Biography|Comedy|Crime|Drama|Romance,6.6,Glenn Ficarra,2035566.0,R,13000000.0,Dameon Clarke,character name in title|con artist|fraud|gay|prison break
1230414,3.0,0.0,True,It's Complicated,2009,Comedy|Drama|Romance,6.6,Nancy Meyers,112703470.0,R,85000000.0,Meryl Streep,affair|divorce|graduation|vomiting|watching television
1259571,3.0,0.0,True,The Twilight Saga: New Moon,2009,Adventure|Drama|Fantasy|Romance,4.6,Chris Weitz,296623634.0,PG-13,50000000.0,Robert Pattinson,forks washington|protecting a woman|title same as book|vampire|werewolf
1078588,3.0,0.0,True,My Sister's Keeper,2009,Drama,7.4,Nick Cassavetes,49185998.0,PG-13,30000000.0,Jason Patric,hospital|leukemia|oncology|sick child|terminal illness
1176740,3.0,0.0,True,Away We Go,2009,Comedy|Drama|Romance,7.1,Sam Mendes,9430988.0,R,17000000.0,Catherine O'Hara,baby|children|friend|love|road trip
1174732,3.0,0.0,True,An Education,2009,Drama,7.3,Lone Scherfig,12574715.0,PG-13,4500000.0,Dominic Cooper,1960s|age difference|france|loss of virginity|oxford
1197624,3.0,0.0,True,Law Abiding Citizen,2009,Crime|Drama|Thriller,7.4,F. Gary Gray,73343413.0,R,50000000.0,Gerard Butler,attorney|deal|district attorney|investigation|justice
1017460,3.0,0.0,True,Splice,2009,Drama|Horror|Sci-Fi,5.8,Vincenzo Natali,16999046.0,R,26000000.0,Sarah Polley,dna|experiment|genetics|interspecies sex|scientist
1210042,1.0,0.0,False,Brooklyn's Finest,2009,Crime|Drama|Thriller,6.7,Antoine Fuqua,27154426.0,R,17000000.0,Don Cheadle,catholic|corrupt cop|new york city|police detective|police officer killed
1130080,1.0,0.0,False,The Informant!,2009,Comedy|Crime|Drama|Thriller,6.5,Steven Soderbergh,33313582.0,R,21000000.0,Matt Damon,compulsive liar|fbi|informant|investigation|spy
1057500,1.0,0.0,False,Invictus,2009,Biography|Drama|History|Sport,7.4,Clint Eastwood,37479778.0,PG-13,60000000.0,Matt Damon,apartheid|nation|nelson mandela|president|rugby
1352824,3.0,0.0,True,Chloe,2009,Drama|Mystery|Romance|Thriller,6.3,Atom Egoyan,3074838.0,R,11000000.0,Liam Neeson,bare chested boy|doctor|escort|infidelity|prostitute
1041829,2.0,0.0,False,The Proposal,2009,Comedy|Drama|Romance,6.7,Anne Fletcher,163947053.0,PG-13,40000000.0,Ryan Reynolds,alaska|deportation|father son relationship|male objectification|sitka alaska
1305806,1.0,0.0,False,The Secret in Their Eyes,2009,Drama|Mystery|Thriller,8.2,Juan José Campanella,20167424.0,R,2000000.0,Ricardo Darín,investigation|justice|murder|suspect|tension
1121977,3.0,0.0,True,Mother and Child,2009,Drama|Romance,7.2,Rodrigo García,1110286.0,R,4825000.0,Naomi Watts,adoption|baby|girl|lawyer|sex
1278340,2.0,0.0,False,Dead Snow,2009,Comedy|Horror,6.4,Tommy Wirkola,41709.0,Not Rated,800000.0,Bjørn Sundquist,medical student|nazi|snow|snowmobile|zombie
1190080,1.0,0.0,False,2012,2009,Action|Adventure|Sci-Fi,5.8,Roland Emmerich,166112167.0,PG-13,200000000.0,Oliver Platt,ark|catastrophe|geologist|president|writer
1134854,1.0,0.0,False,Survival of the Dead,2009,Horror,5.0,George A. Romero,101055.0,R,4000000.0,Julian Richings,delaware|feud|island|undead|zombie
1139668,3.0,0.0,True,The Unborn,2009,Drama|Fantasy|Horror|Mystery|Thriller,4.8,David S. Goyer,42638165.0,PG-13,16000000.0,Gary Oldman,babysitting|experiment|nightmare|possession|twin
1139668,3.0,0.0,True,The Unborn,2009,Drama|Fantasy|Horror|Mystery|Thriller,4.8,David S. Goyer,42638165.0,PG-13,16000000.0,Gary Oldman,babysitting|experiment|nightmare|possession|twin
1142988,2.0,0.0,False,The Ugly Truth,2009,Comedy|Romance,6.5,Robert Luketic,88915214.0,R,38000000.0,Gerard Butler,call in|chick flick|date|hot air balloon|show producer
1149361,3.0,1.0,True,Micmacs,2009,Action|Comedy|Crime,7.2,Jean-Pierre Jeunet,1260917.0,R,27000000.0,Omar Sy,bullet|contortionist|gag humor|human cannonball|revenge
1035736,3.0,0.0,True,Coco Before Chanel,2009,Biography|Drama,6.7,Anne Fontaine,6109075.0,PG-13,19430000.0,Alessandro Nivola,baron|fashion|hat|nickname|orphanage
1303828,1.0,0.0,False,Defendor,2009,Comedy|Crime|Drama,6.8,Peter Stebbings,37606.0,R,3500000.0,Michael Kelly,gun running|organized crime|pimp|superhero|vigilante
1019452,2.0,0.0,False,A Serious Man,2009,Comedy|Drama,7.0,Ethan Coen,9190525.0,R,7000000.0,Michael Stuhlbarg,bar mitzvah|jewish|marital breakup|nose job|rabbi
1247662,3.0,0.0,True,The Good Guy,2009,Comedy|Romance,5.9,Julio DePietro,100503.0,R,8000000.0,Adrian Martinez,book club|cheating boyfriend|job promotion|manhattan new york city|new york city
1235796,3.0,0.0,True,Ondine,2009,Drama|Mystery|Romance,6.8,Neil Jordan,548934.0,PG-13,12000000.0,Tony Curran,celtic mythology|cottage|fisherman|irish|selkie
1194263,1.0,0.0,False,Get Low,2009,Drama|Mystery,7.1,Aaron Schneider,9176553.0,PG-13,7500000.0,Bill Murray,funeral|funeral home|hermit|party|secret
1095217,3.0,0.0,True,Bad Lieutenant: Port of Call New Orleans,2009,Crime|Drama,6.7,Werner Herzog,1697956.0,R,20000000.0,Nicolas Cage,drugs|flood|hallucination|lieutenant|murder investigation
1179891,2.0,1.0,False,My Bloody Valentine,2009,Horror|Thriller,5.5,Patrick Lussier,51527787.0,R,15000000.0,Jensen Ackles,coma|death|miner|valentine|valentine's day
1034032,1.0,0.0,False,Gamer,2009,Action|Sci-Fi|Thriller,5.8,Mark Neveldine,20488579.0,R,50000000.0,Gerard Butler,battle|convict|death|mind control|role playing
1300851,0.0,0.0,False,The Boondock Saints II: All Saints Day,2009,Action|Crime|Thriller,6.3,Troy Duffy,10269307.0,R,8000000.0,Norman Reedus,final showdown|ireland|justice|priest|sheep
1191111,1.0,0.0,False,Enter the Void,2009,Drama|Fantasy,7.3,Gaspar Noé,336467.0,Not Rated,13000000.0,Paz de la Huerta,drug deal|drugs|explicit sex|love|stripper
1001508,3.0,0.0,True,He's Just Not That Into You,2009,Comedy|Drama|Romance,6.4,Ken Kwapis,93952276.0,PG-13,40000000.0,Carmen Perez,advertising|bar|dating|lingerie slip|six word title
1289406,1.0,0.0,False,Harry Brown,2009,Action|Crime|Drama|Thriller,7.2,Daniel Barber,1818681.0,R,7300000.0,Joseph Gilgun,bayonet|death|police|self defense|widower
1188729,1.0,0.0,False,Pandorum,2009,Action|Horror|Mystery|Sci-Fi|Thriller,6.8,Christian Alvart,10326062.0,R,33000000.0,Norman Reedus,future|mission|space|spaceship|survival
1220198,3.0,0.0,True,The Fourth Kind,2009,Mystery|Sci-Fi|Thriller,5.9,Olatunde Osunsanmi,25464480.0,PG-13,10000000.0,Milla Jovovich,abduction|alaska|alien|owl|patient
1144884,3.0,0.0,True,The Final Destination,2009,Horror,5.2,David R. Ellis,66466372.0,R,40000000.0,Krista Allen,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out
1245112,1.0,0.0,False,[Rec] 2,2009,Horror,6.6,Jaume Balagueró,27024.0,R,5600000.0,Jonathan D. Mellor,apartment|apartment building|blood sample|crucifix|zombie
1285309,3.0,0.0,True,The Joneses,2009,Comedy|Drama,6.5,Derrick Borte,1474508.0,R,5000000.0,Demi Moore,envy|fake family|gadget|materialism|unhappy marriage
1148165,1.0,0.0,False,Bran Nue Dae,2009,Comedy|Drama|Musical,6.3,Rachel Perkins,110029.0,PG-13,6500000.0,Deborah Mailman,australia|journey|love|priest|traveling
1232783,3.0,1.0,True,Sorority Row,2009,Horror|Mystery,5.1,Stewart Hendler,11956207.0,R,16000000.0,Julian Morris,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck
1127896,1.0,0.0,False,Taking Woodstock,2009,Comedy|Drama|Music,6.7,Ang Lee,7443007.0,R,30000000.0,Imelda Staunton,female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity
1385912,1.0,0.0,False,I Can Do Bad All by Myself,2009,Comedy|Drama,4.1,Tyler Perry,51697449.0,PG-13,13000000.0,Eric Mendenhall,aunt|immigrant|looting|love|nightclub singer
1045778,3.0,0.0,True,Year One,2009,Adventure|Comedy,4.9,Harold Ramis,43337279.0,PG-13,60000000.0,Olivia Wilde,abraham|hunter|princess|sodom|tribe
1078912,1.0,0.0,False,Night at the Museum: Battle of the Smithsonian,2009,Adventure|Comedy|Family|Fantasy,5.9,Shawn Levy,177243721.0,PG,150000000.0,Robin Williams,hdtv|motorcycle|museum|security guard|tyrannosaurus rex
1226232,3.0,0.0,True,The Greatest,2009,Drama|Romance,6.7,Shana Feste,115862.0,R,6000000.0,Jennifer Ehle,car crash|loss|self help group|teenage mother|title directed by female
1014759,3.0,0.0,True,Alice in Wonderland,2010,Adventure|Family|Fantasy,6.5,Tim Burton,334185206.0,PG,200000000.0,Johnny Depp,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
1014759,3.0,0.0,True,Alice in Wonderland,2010,Adventure|Family|Fantasy,6.5,Tim Burton,334185206.0,PG,200000000.0,Johnny Depp,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
1305583,3.0,0.0,True,Our Family Wedding,2010,Comedy|Romance,4.9,Rick Famuyiwa,20246959.0,PG-13,14000000.0,America Ferrera,california|love|marriage|wedding|wedding dress
1196141,3.0,0.0,True,Diary of a Wimpy Kid,2010,Comedy|Family,6.2,Thor Freudenthal,64001297.0,PG,15000000.0,Chloë Grace Moretz,cheese|diary|friend|middle school|school
1231587,1.0,0.0,False,Hot Tub Time Machine,2010,Comedy|Sci-Fi,6.4,Steve Pink,50213619.0,R,36000000.0,Charlie McDermott,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman
1130884,1.0,0.0,False,Shutter Island,2010,Mystery|Thriller,8.1,Martin Scorsese,127968405.0,R,80000000.0,Leonardo DiCaprio,female prisoner|plot twist|self delusion|surprise ending|year 1954
1053424,3.0,0.0,True,Repo Men,2010,Action|Crime|Sci-Fi|Thriller,6.3,Miguel Sapochnik,13763130.0,R,32000000.0,Alice Braga,artificial organ|best friend|enforcer|future|near future
1250777,1.0,0.0,False,Kick-Ass,2010,Action|Comedy,7.7,Matthew Vaughn,48043505.0,R,30000000.0,Elizabeth McGovern,comic book|female killer|hit in the crotch|narrated by character|reference to batman
1279935,3.0,0.0,True,Date Night,2010,Comedy|Crime|Romance|Thriller,6.3,Shawn Levy,98711404.0,PG-13,55000000.0,Mila Kunis,city|new york city|night|reservation|restaurant
